customer_id,customer_name,signup_date,segment,city,region,acquisition_channel
CUST00001,Customer 00001,2022-02-21,Small Business,Bengaluru,South,Organic Search
CUST00002,Customer 00002,2022-07-29,Consumer,Hyderabad,South,Direct
CUST00003,Customer 00003,2025-04-24,Consumer,Bengaluru,South,Organic Search
CUST00004,Customer 00004,2023-04-22,Consumer,Mumbai,West,Organic Search
CUST00005,Customer 00005,2025-01-21,Consumer,Mumbai,West,Paid Search
CUST00006,Customer 00006,2022-01-14,Small Business,Pune,West,Organic Search
CUST00007,Customer 00007,2023-11-28,Consumer,Kolkata,East,Organic Search
CUST00008,Customer 00008,2022-07-29,Consumer,Delhi,North,Organic Search
CUST00009,Customer 00009,2025-05-21,Consumer,Delhi,North,Organic Search
CUST00010,Customer 00010,2025-01-03,Consumer,Ahmedabad,West,Direct
CUST00011,Customer 00011,2025-02-04,Consumer,Bengaluru,South,Referral
CUST00012,Customer 00012,2025-03-28,Consumer,Delhi,North,Organic Search
CUST00013,Customer 00013,2023-08-16,Corporate,Mumbai,West,Direct
CUST00014,Customer 00014,2024-02-18,Consumer,Bengaluru,South,Referral
CUST00015,Customer 00015,2022-11-30,Consumer,Delhi,North,Organic Search
CUST00016,Customer 00016,2022-05-27,Consumer,Pune,West,Organic Search
CUST00017,Customer 00017,2022-12-01,Consumer,Mumbai,West,Paid Search
CUST00018,Customer 00018,2023-03-26,Consumer,Coimbatore,South,Email
CUST00019,Customer 00019,2023-04-15,Small Business,Chennai,South,Email
CUST00020,Customer 00020,2023-07-03,Consumer,Kolkata,East,Direct
CUST00021,Customer 00021,2023-10-07,Consumer,Jaipur,North,Social Media
CUST00022,Customer 00022,2022-10-20,Consumer,Ahmedabad,West,Organic Search
CUST00023,Customer 00023,2025-01-08,Consumer,Coimbatore,South,Social Media
CUST00024,Customer 00024,2024-03-28,Consumer,Jaipur,North,Direct
CUST00025,Customer 00025,2024-11-09,Consumer,Hyderabad,South,Email
CUST00026,Customer 00026,2022-11-10,Consumer,Bengaluru,South,Email
CUST00027,Customer 00027,2025-05-06,Consumer,Kolkata,East,Paid Search
CUST00028,Customer 00028,2024-12-19,Consumer,Ahmedabad,West,Social Media
CUST00029,Customer 00029,2022-08-23,Consumer,Chennai,South,Social Media
CUST00030,Customer 00030,2023-11-28,Consumer,Pune,West,Paid Search
CUST00031,Customer 00031,2022-01-07,Corporate,Ahmedabad,West,Direct
CUST00032,Customer 00032,2024-10-22,Small Business,Pune,West,Social Media
CUST00033,Customer 00033,2023-09-04,Small Business,Bengaluru,South,Social Media
CUST00034,Customer 00034,2022-11-10,Consumer,Mumbai,West,Organic Search
CUST00035,Customer 00035,2022-01-02,Consumer,Coimbatore,South,Social Media
CUST00036,Customer 00036,2024-01-14,Small Business,Bengaluru,South,Email
CUST00037,Customer 00037,2023-05-06,Consumer,Pune,West,Direct
CUST00038,Customer 00038,2022-06-25,Small Business,Bengaluru,South,Email
CUST00039,Customer 00039,2022-09-15,Consumer,Coimbatore,South,Social Media
CUST00040,Customer 00040,2022-12-05,Consumer,Coimbatore,South,Direct
CUST00041,Customer 00041,2023-03-10,Corporate,Kolkata,East,Email
CUST00042,Customer 00042,2023-10-01,Consumer,Mumbai,West,Referral
CUST00043,Customer 00043,2024-06-16,Small Business,Delhi,North,Social Media
CUST00044,Customer 00044,2023-04-06,Consumer,Mumbai,West,Organic Search
CUST00045,Customer 00045,2023-04-17,Consumer,Coimbatore,South,Organic Search
CUST00046,Customer 00046,2023-04-14,Consumer,Chennai,South,Organic Search
CUST00047,Customer 00047,2022-05-26,Consumer,Delhi,North,Paid Search
CUST00048,Customer 00048,2023-03-15,Consumer,Ahmedabad,West,Email
CUST00049,Customer 00049,2025-03-26,Consumer,Jaipur,North,Email
CUST00050,Customer 00050,2023-01-25,Consumer,Kolkata,East,Referral
CUST00051,Customer 00051,2024-05-17,Consumer,Delhi,North,Direct
CUST00052,Customer 00052,2022-07-21,Consumer,Chennai,South,Email
CUST00053,Customer 00053,2023-05-25,Consumer,Bengaluru,South,Social Media
CUST00054,Customer 00054,2024-05-14,Consumer,Hyderabad,South,Social Media
CUST00055,Customer 00055,2024-06-26,Small Business,Bengaluru,South,Direct
CUST00056,Customer 00056,2022-04-14,Consumer,Bengaluru,South,Social Media
CUST00057,Customer 00057,2022-07-11,Corporate,Chennai,South,Email
CUST00058,Customer 00058,2024-04-12,Consumer,Hyderabad,South,Organic Search
CUST00059,Customer 00059,2022-05-01,Consumer,Kolkata,East,Organic Search
CUST00060,Customer 00060,2023-06-28,Corporate,Kolkata,East,Email
CUST00061,Customer 00061,2024-05-16,Consumer,Pune,West,Email
CUST00062,Customer 00062,2024-09-23,Consumer,Coimbatore,South,Paid Search
CUST00063,Customer 00063,2025-04-01,Small Business,Chennai,South,Organic Search
CUST00064,Customer 00064,2022-04-28,Consumer,Delhi,North,Social Media
CUST00065,Customer 00065,2022-11-19,Consumer,Coimbatore,South,Social Media
CUST00066,Customer 00066,2022-05-21,Consumer,Hyderabad,South,Referral
CUST00067,Customer 00067,2024-04-06,Consumer,Mumbai,West,Direct
CUST00068,Customer 00068,2025-03-31,Consumer,Mumbai,West,Referral
CUST00069,Customer 00069,2025-04-10,Consumer,Kolkata,East,Paid Search
CUST00070,Customer 00070,2023-02-23,Consumer,Pune,West,Paid Search
CUST00071,Customer 00071,2024-03-21,Consumer,Pune,West,Referral
CUST00072,Customer 00072,2023-10-10,Corporate,Ahmedabad,West,Direct
CUST00073,Customer 00073,2024-07-27,Consumer,Chennai,South,Social Media
CUST00074,Customer 00074,2022-05-31,Consumer,Bengaluru,South,Social Media
CUST00075,Customer 00075,2023-12-16,Small Business,Hyderabad,South,Direct
CUST00076,Customer 00076,2023-08-07,Consumer,Delhi,North,Email
CUST00077,Customer 00077,2024-12-19,Consumer,Pune,West,Email
CUST00078,Customer 00078,2022-08-01,Corporate,Pune,West,Organic Search
CUST00079,Customer 00079,2022-08-08,Small Business,Bengaluru,South,Organic Search
CUST00080,Customer 00080,2025-05-23,Consumer,Pune,West,Paid Search
CUST00081,Customer 00081,2024-11-01,Consumer,Pune,West,Direct
CUST00082,Customer 00082,2022-07-09,Consumer,Chennai,South,Email
CUST00083,Customer 00083,2022-01-08,Consumer,Chennai,South,Organic Search
CUST00084,Customer 00084,2022-11-27,Small Business,Pune,West,Social Media
CUST00085,Customer 00085,2025-02-22,Consumer,Kolkata,East,Organic Search
CUST00086,Customer 00086,2025-01-22,Consumer,Hyderabad,South,Paid Search
CUST00087,Customer 00087,2022-10-31,Consumer,Coimbatore,South,Organic Search
CUST00088,Customer 00088,2022-03-23,Small Business,Delhi,North,Organic Search
CUST00089,Customer 00089,2022-07-30,Consumer,Mumbai,West,Social Media
CUST00090,Customer 00090,2022-11-13,Corporate,Kolkata,East,Organic Search
CUST00091,Customer 00091,2022-12-29,Small Business,Hyderabad,South,Organic Search
CUST00092,Customer 00092,2024-04-23,Small Business,Delhi,North,Direct
CUST00093,Customer 00093,2023-07-01,Consumer,Mumbai,West,Referral
CUST00094,Customer 00094,2022-03-21,Small Business,Kolkata,East,Organic Search
CUST00095,Customer 00095,2023-12-18,Consumer,Ahmedabad,West,Email
CUST00096,Customer 00096,2023-04-02,Consumer,Mumbai,West,Organic Search
CUST00097,Customer 00097,2023-07-25,Small Business,Delhi,North,Direct
CUST00098,Customer 00098,2023-12-21,Consumer,Pune,West,Paid Search
CUST00099,Customer 00099,2023-11-10,Corporate,Coimbatore,South,Organic Search
CUST00100,Customer 00100,2023-01-01,Consumer,Pune,West,Direct
CUST00101,Customer 00101,2022-08-11,Consumer,Chennai,South,Paid Search
CUST00102,Customer 00102,2024-06-12,Consumer,Delhi,North,Social Media
CUST00103,Customer 00103,2025-03-26,Consumer,Kolkata,East,Organic Search
CUST00104,Customer 00104,2022-01-04,Consumer,Kolkata,East,Email
CUST00105,Customer 00105,2024-01-16,Consumer,Mumbai,West,Direct
CUST00106,Customer 00106,2023-10-05,Consumer,Delhi,North,Organic Search
CUST00107,Customer 00107,2024-11-04,Consumer,Pune,West,Paid Search
CUST00108,Customer 00108,2023-08-29,Consumer,Kolkata,East,Organic Search
CUST00109,Customer 00109,2022-12-23,Consumer,Kolkata,East,Paid Search
CUST00110,Customer 00110,2022-01-01,Consumer,Coimbatore,South,Organic Search
CUST00111,Customer 00111,2025-05-27,Consumer,Jaipur,North,Social Media
CUST00112,Customer 00112,2023-03-14,Consumer,Ahmedabad,West,Email
CUST00113,Customer 00113,2022-06-23,Consumer,Hyderabad,South,Referral
CUST00114,Customer 00114,2023-11-18,Consumer,Jaipur,North,Direct
CUST00115,Customer 00115,2023-09-28,Consumer,Mumbai,West,Organic Search
CUST00116,Customer 00116,2022-04-05,Consumer,Chennai,South,Social Media
CUST00117,Customer 00117,2024-07-21,Consumer,Bengaluru,South,Referral
CUST00118,Customer 00118,2024-02-26,Consumer,Mumbai,West,Organic Search
CUST00119,Customer 00119,2022-08-07,Small Business,Chennai,South,Organic Search
CUST00120,Customer 00120,2024-08-09,Consumer,Coimbatore,South,Organic Search
CUST00121,Customer 00121,2024-07-23,Consumer,Bengaluru,South,Social Media
CUST00122,Customer 00122,2025-02-18,Consumer,Coimbatore,South,Direct
CUST00123,Customer 00123,2024-10-30,Consumer,Ahmedabad,West,Direct
CUST00124,Customer 00124,2022-11-22,Small Business,Ahmedabad,West,Social Media
CUST00125,Customer 00125,2023-05-22,Small Business,Pune,West,Paid Search
CUST00126,Customer 00126,2024-09-19,Consumer,Coimbatore,South,Paid Search
CUST00127,Customer 00127,2023-08-09,Consumer,Bengaluru,South,Paid Search
CUST00128,Customer 00128,2022-06-15,Consumer,Coimbatore,South,Organic Search
CUST00129,Customer 00129,2023-03-15,Consumer,Hyderabad,South,Paid Search
CUST00130,Customer 00130,2024-08-12,Consumer,Coimbatore,South,Organic Search
CUST00131,Customer 00131,2024-03-08,Small Business,Kolkata,East,Social Media
CUST00132,Customer 00132,2025-03-25,Consumer,Chennai,South,Organic Search
CUST00133,Customer 00133,2023-09-04,Small Business,Delhi,North,Direct
CUST00134,Customer 00134,2025-01-07,Small Business,Kolkata,East,Social Media
CUST00135,Customer 00135,2023-03-28,Consumer,Jaipur,North,Paid Search
CUST00136,Customer 00136,2022-03-01,Consumer,Ahmedabad,West,Referral
CUST00137,Customer 00137,2022-12-05,Small Business,Kolkata,East,Direct
CUST00138,Customer 00138,2024-12-29,Consumer,Jaipur,North,Paid Search
CUST00139,Customer 00139,2022-02-25,Consumer,Jaipur,North,Paid Search
CUST00140,Customer 00140,2023-01-08,Consumer,Ahmedabad,West,Paid Search
CUST00141,Customer 00141,2024-07-20,Consumer,Mumbai,West,Email
CUST00142,Customer 00142,2023-07-24,Small Business,Kolkata,East,Email
CUST00143,Customer 00143,2022-06-17,Consumer,Pune,West,Email
CUST00144,Customer 00144,2023-12-18,Consumer,Chennai,South,Organic Search
CUST00145,Customer 00145,2022-03-05,Corporate,Chennai,South,Organic Search
CUST00146,Customer 00146,2022-11-09,Consumer,Chennai,South,Social Media
CUST00147,Customer 00147,2025-03-01,Corporate,Bengaluru,South,Social Media
CUST00148,Customer 00148,2024-01-26,Consumer,Pune,West,Referral
CUST00149,Customer 00149,2022-12-02,Corporate,Bengaluru,South,Organic Search
CUST00150,Customer 00150,2023-10-01,Consumer,Chennai,South,Direct
CUST00151,Customer 00151,2024-03-23,Corporate,Kolkata,East,Organic Search
CUST00152,Customer 00152,2023-05-13,Consumer,Jaipur,North,Email
CUST00153,Customer 00153,2022-09-05,Small Business,Jaipur,North,Social Media
CUST00154,Customer 00154,2023-12-13,Consumer,Chennai,South,Referral
CUST00155,Customer 00155,2024-11-02,Consumer,Bengaluru,South,Organic Search
CUST00156,Customer 00156,2024-09-30,Consumer,Kolkata,East,Direct
CUST00157,Customer 00157,2022-11-10,Consumer,Ahmedabad,West,Email
CUST00158,Customer 00158,2025-01-07,Small Business,Pune,West,Social Media
CUST00159,Customer 00159,2023-07-04,Consumer,Jaipur,North,Organic Search
