order_item_id,order_id,product_id,quantity,discount_pct,gross_sales,net_sales,profit
ITEM0000001,ORD000893,PROD0123,2,0,33212.52,33212.52,10840.1
ITEM0000002,ORD001730,PROD0187,1,0.05,2026.07,1924.77,726.37
ITEM0000003,ORD000011,PROD0194,1,0.1,26125.1,23512.59,8018.65
ITEM0000004,ORD004798,PROD0150,1,0.1,14070,12663,4484.84
ITEM0000005,ORD002851,PROD0055,2,0.15,3518.26,2990.52,17.9
ITEM0000006,ORD003913,PROD0166,3,0.05,84317.43,80101.56,27516.42
ITEM0000007,ORD003723,PROD0056,4,0.15,50415.48,42853.16,12676.88
ITEM0000008,ORD003503,PROD0178,3,0.05,14811.69,14071.11,4526.04
ITEM0000009,ORD004058,PROD0184,0,0.2,11181.6,8945.28,1772.58
ITEM0000010,ORD001607,PROD0203,2,0.1,27830.8,25047.72,8615.12
ITEM0000011,ORD002859,PROD0217,2,0.15,21668.48,18418.21,4646.15
ITEM0000012,ORD001996,PROD0214,2,0.15,32734.44,27824.27,1644.47
ITEM0000013,ORD003179,PROD0142,1,0,5869.7,5869.7,2312.94
ITEM0000014,ORD000641,PROD0062,1,0.05,2328.45,2212.03,607.41
ITEM0000015,ORD001019,PROD0196,1,1.2,5795.45,5215.9,1090.62
ITEM0000016,ORD003608,PROD0009,1,0.05,24251.57,23038.99,8313.86
ITEM0000017,ORD004582,PROD0165,1,0.15,14878.45,12646.68,1522.31
ITEM0000018,ORD002617,PROD0119,2,0,5374.34,5374.34,1001.2
ITEM0000019,ORD000995,PROD0100,1,0,21958.1,21958.1,4850.55
ITEM0000020,ORD004813,PROD0143,2,0.2,44174.78,35339.82,6606.22
ITEM0000021,ORD003040,PROD0193,1,0.05,20594.36,19564.64,7694.59
ITEM0000022,ORD001710,PROD0210,2,0.1,52229.6,47006.64,14227.52
ITEM0000023,ORD003669,PROD0004,1,0.05,6291.1,5976.55,841.06
ITEM0000024,ORD002685,PROD0093,1,0.15,9683.07,8230.61,2459.26
ITEM0000025,ORD001891,PROD0154,2,0.05,8860.12,8417.11,3121.41
ITEM0000026,ORD001084,PROD0122,2,0.25,4539.06,3404.3,398.42
ITEM0000027,ORD004432,PROD0102,1,0.15,20719.66,17611.71,5205.21
ITEM0000028,ORD001237,PROD0093,1,0.1,9683.07,8714.76,2943.41
ITEM0000029,ORD000449,PROD0085,1,0.2,26654.63,21323.7,5497.8
ITEM0000030,ORD003191,PROD0014,1,0.1,6126.24,5513.62,1872.49
ITEM0000031,ORD000911,PROD0171,2,0,20968.6,20968.6,3336.36
ITEM0000032,ORD002677,PROD0109,1,0,11612.58,11612.58,3962.06
ITEM0000033,ORD004796,PROD0118,1,0.05,8894.09,8449.39,2848.92
ITEM0000034,ORD002068,PROD0198,2,0.1,1594.06,1434.65,75.37
ITEM0000035,ORD000671,PROD0036,4,0.15,41803.36,35532.86,9341.7
ITEM0000036,ORD000010,PROD0013,2,0.1,39732.6,35759.34,8908.42
ITEM0000037,ORD001147,PROD0168,2,0.1,38917.32,35025.59,10333.89
ITEM0000038,ORD002482,PROD0171,4,0.15,41937.2,35646.62,382.14
ITEM0000039,ORD000420,PROD0196,2,0.2,11590.9,9272.72,1022.16
ITEM0000040,ORD004594,PROD0219,1,0,27006.32,27006.32,9691.53
ITEM0000041,ORD001787,PROD0019,1,0.1,1769.05,1592.14,440.97
ITEM0000042,ORD004336,PROD0032,1,0.2,2527.95,2022.36,23.93
ITEM0000043,ORD003820,PROD0161,1,0.25,5144.07,3858.05,76.18
ITEM0000044,ORD002973,PROD0082,2,0,2699.36,2699.36,1114.64
ITEM0000045,ORD001135,PROD0033,5,0.15,86976.65,73930.15,14580.4
ITEM0000046,ORD004345,PROD0141,1,0,9820.32,9820.32,3623.12
ITEM0000047,ORD003365,PROD0055,2,0.1,3518.26,3166.43,193.81
ITEM0000048,ORD003258,PROD0211,1,0.1,7478,6730.2,1968.55
ITEM0000049,ORD000518,PROD0164,2,0.25,16713.12,12534.84,-1373.38
ITEM0000050,ORD001830,PROD0213,1,0.05,18966.99,18018.64,4449.16
ITEM0000051,ORD002145,PROD0196,1,0.1,5795.45,5215.9,1090.62
ITEM0000052,ORD004978,PROD0062,1,0.05,2328.45,2212.03,607.41
ITEM0000053,ORD004993,PROD0152,1,0.15,14904.94,12669.2,3521.78
ITEM0000054,ORD003560,PROD0071,1,0.05,29147.69,27690.31,10605.29
ITEM0000055,ORD001846,PROD0201,2,0,27263,27263,10170.34
ITEM0000056,ORD004683,PROD0188,1,0,2699.06,2699.06,653.27
ITEM0000057,ORD002813,PROD0036,2,0.1,20901.68,18811.51,5715.93
ITEM0000058,ORD003296,PROD0207,1,0,22221.53,22221.53,7646.12
ITEM0000059,ORD003118,PROD0155,1,0.1,4402.89,3962.6,205.65
ITEM0000060,ORD004957,PROD0217,2,0.05,21668.48,20585.06,6813
ITEM0000061,ORD001356,PROD0048,1,0.2,7008.44,5606.75,144.77
ITEM0000062,ORD003396,PROD0195,1,0.05,11548.65,10971.22,2748.47
ITEM0000063,ORD004262,PROD0072,2,0.05,20346.44,19329.12,6866.28
ITEM0000064,ORD003517,PROD0197,2,0.1,33684.2,30315.78,4633.04
ITEM0000065,ORD004156,PROD0029,3,0.2,41158.5,32926.8,4512.81
ITEM0000066,ORD000610,PROD0080,2,0.05,46904.84,44559.6,12004.82
ITEM0000067,ORD000380,PROD0110,1,0.1,12896.87,11607.18,3219.85
ITEM0000068,ORD004258,PROD0007,1,0.1,9933.55,8940.19,2942.13
ITEM0000069,ORD000698,PROD0216,1,0.15,9615.86,8173.48,947.97
ITEM0000070,ORD004865,PROD0173,2,0.1,25589.9,23030.91,4665.99
ITEM0000071,ORD003184,PROD0179,3,0.15,9627.84,8183.66,1797.65
ITEM0000072,ORD004348,PROD0123,4,0,66425.04,66425.04,21680.2
ITEM0000073,ORD002920,PROD0148,1,0,14269.11,14269.11,3957.12
ITEM0000074,ORD002183,PROD0100,4,0.1,87832.4,79049.16,10618.96
ITEM0000075,ORD000953,PROD0106,1,0.15,13006.77,11055.75,1680.6
ITEM0000076,ORD003251,PROD0102,2,0.05,41439.32,39367.35,14554.35
ITEM0000077,ORD001559,PROD0083,1,0,15580.33,15580.33,2160.85
ITEM0000078,ORD000055,PROD0045,2,0.05,32682.24,31048.13,9082.59
ITEM0000079,ORD004829,PROD0146,4,0.1,23807,21426.3,6178.06
ITEM0000080,ORD001863,PROD0185,1,0.2,28315.81,22652.65,6113.1
ITEM0000081,ORD004680,PROD0051,2,0.05,41654.68,39571.95,7527.77
