order_id,customer_id,order_date,sales_channel,payment_method,order_status
ORD000001,CUST00559,2026-05-28,Website,UPI,Completed
ORD000002,CUST01197,2025-11-01,Website,Net Banking,Completed
ORD000003,CUST00400,2026-01-21,Website,Debit Card,Returned
ORD000004,CUST01122,2024-11-16,Website,UPI,Completed
ORD000005,CUST00201,2025-02-25,Mobile App,Net Banking,Completed
ORD000006,CUST00581,2026-01-12, website ,UPI,Completed
ORD000007,CUST00445,2024-02-28,Marketplace,Debit Card,Completed
ORD000008,CUST00177,2024-05-02,Mobile App,UPI,Completed
ORD000009,CUST01160,2026-07-10,Mobile App,UPI,Completed
ORD000010,CUST00519,2024-07-07,Website,Debit Card,Completed
ORD000011,CUST00567,2025-04-09,Mobile App,Net Banking,completed
ORD000012,CUST00663,2026-02-27,Website,Wallet,Completed
ORD000013,CUST00784,2024-03-04,Website,COD,Completed
ORD000014,CUST00543,2026-04-12,Website,UPI,Returned
ORD000015,CUST00805,2024-07-24,Website,Credit Card,Completed
ORD000016,CUST00884,2026-02-26,Website,Debit Card,Cancelled
ORD000017,CUST00531,2026-01-02,Website,UPI,Completed
ORD000018,CUST00914,2024-09-13,Website,Credit Card,Completed
ORD000019,CUST00078,2024-01-01,Mobile App,UPI,Completed
ORD000020,CUST00802,2026-07-15,Mobile App,Credit Card,Returned
ORD000021,CUST00980,2025-05-17,Website,Wallet,Completed
ORD000022,CUST00144,2026-03-15,Mobile App,UPI,Returned
ORD000023,CUST00988,2026-04-17,Website,Debit Card,Returned
ORD000024,CUST00621,2024-12-07,Website,Debit Card,Returned
ORD000025,CUST00749,2024-04-02,Mobile App,COD,Completed
ORD000026,CUST99999,2025-04-15,Mobile App,UPI,Completed
ORD000027,CUST00392,2025-01-28,Website,Credit Card,Completed
ORD000028,CUST00736,2025-12-06,Website,COD,Completed
ORD000029,CUST00287,2024-07-13,Website,UPI,Returned
ORD000030,CUST01002,2024-09-01,Website,Wallet,Completed
ORD000031,CUST01094,2025-05-26,Marketplace,Wallet,Returned
ORD000032,CUST00076,2024-01-17,Website,Credit Card,Completed
ORD000033,CUST00243,2025-02-19,Website,Debit Card,Completed
ORD000034,CUST01099,2026-08-20,Website,Debit Card,Cancelled
ORD000035,CUST00290,2024-02-07,Website,UPI,Cancelled
ORD000036,CUST00094,2025-09-25,Website,Debit Card,Completed
ORD000037,CUST00103,2025-10-09,Marketplace,Wallet,Completed
ORD000038,CUST00350,2025-09-17,Mobile App,UPI,Completed
ORD000039,CUST01019,2024-04-26,Mobile App,Debit Card,Completed
ORD000040,CUST00873,2024-07-26,Website,Wallet,Completed
ORD000041,CUST00665,2025-02-15,Website,Net Banking,Completed
ORD000042,CUST00437,2024-11-25,Mobile App,Debit Card,Completed
ORD000043,CUST00561,2024-05-03,Website,Credit Card,Completed
ORD000044,CUST00338,2025-07-20,Website,COD,Completed
ORD000045,CUST00771,2024-04-12,Mobile App,UPI,Completed
ORD000046,CUST00015,2024-01-07,Website,UPI,Completed
ORD000047,CUST00582,2026-06-27,Website,Wallet,Completed
ORD000048,CUST00260,2025-12-09,Website,Debit Card,Completed
ORD000049,CUST00490,2025-02-25,Marketplace,Debit Card,Completed
ORD000050,CUST01024,2024-07-03,Mobile App,UPI,Completed
ORD000051,CUST00713,2024-11-04,Website,Debit Card,Completed
ORD000052,CUST00196,2025-06-26,Mobile App,COD,Returned
ORD000053,CUST00450,2025-06-03,Website,Debit Card,Completed
ORD000054,CUST00397,2024-02-24,Website,UPI,Completed
ORD000055,CUST00972,2026-07-22,Website,UPI,Cancelled
ORD000056,CUST00746,2024-02-25,Website,Credit Card,Completed
ORD000057,CUST00929,2026-04-04,Website,Net Banking,Cancelled
ORD000058,CUST00324,2024-06-29,Mobile App,Credit Card,Completed
ORD000059,CUST00482,2026-07-05,Mobile App,Debit Card,Completed
ORD000060,CUST00668,2024-07-22,Website,UPI,Completed
ORD000061,CUST00845,2024-08-30,Mobile App,Credit Card,Completed
ORD000062,CUST01199,2025-04-27,Website,COD,Completed
ORD000063,CUST00932,2026-08-08,Website,Credit Card,Completed
ORD000064,CUST00735,2024-07-17,Marketplace,UPI,Completed
ORD000065,CUST01165,2025-12-09,Website,UPI,Completed
ORD000066,CUST00857,2025-04-14,Website,Credit Card,Cancelled
ORD000067,CUST00322,2025-09-10,Mobile App,Debit Card,Completed
ORD000068,CUST01184,2024-06-23,Marketplace,Wallet,Completed
ORD000069,CUST01069,2026-05-27,Website,COD,Completed
ORD000070,CUST00948,2026-05-07,Website,Net Banking,Completed
ORD000071,CUST00508,2024-09-09,Website,Debit Card,Cancelled
ORD000072,CUST00306,2025-08-28,Marketplace,COD,Completed
ORD000073,CUST00083,2024-02-15,Marketplace,Net Banking,Completed
ORD000074,CUST01088,2025-03-11,Website,Wallet,Completed
ORD000075,CUST00927,2024-04-10,Website,UPI,Completed
ORD000076,CUST00833,2025-12-10,Marketplace,UPI,Completed
ORD000077,CUST00186,2025-10-25,Website,Debit Card,Completed
ORD000078,CUST01169,2025-04-15,Mobile App,UPI,Completed
ORD000079,CUST00284,2026-03-01,Mobile App,Credit Card,Completed
ORD000080,CUST00951,2025-01-14,Mobile App,UPI,Completed
ORD000081,CUST00682,2025-01-29,Mobile App,Credit Card,Completed
ORD000082,CUST01111,2025-12-15,Mobile App,UPI,Completed
ORD000083,CUST00688,2025-09-27,Mobile App,UPI,Returned
ORD000084,CUST00746,2025-11-21,Mobile App,UPI,Completed
ORD000085,CUST00084,2025-09-25,Website,UPI,Completed
ORD000086,CUST01149,2024-03-09,Mobile App,UPI,Returned
ORD000087,CUST01106,2024-09-01,Website,Credit Card,Returned
ORD000088,CUST00430,2025-08-17,Mobile App,Net Banking,Completed
ORD000089,CUST00548,2026-07-08,Website,Credit Card,Completed
ORD000090,CUST00708,2025-01-16,Website,Credit Card,Completed
ORD000091,CUST01090,2025-04-26,Mobile App,Debit Card,Completed
ORD000092,CUST00754,2025-09-27,Mobile App,COD,Completed
ORD000093,CUST00135,2026-08-21,Website,COD,Completed
ORD000094,CUST00367,2025-02-04,Website,COD,Completed
ORD000095,CUST00230,2024-10-09,Mobile App,Credit Card,Cancelled
ORD000096,CUST00047,2025-06-17,Website,COD,Completed
ORD000097,CUST00971,2024-05-15,Website,Credit Card,Completed
ORD000098,CUST00388,2024-10-25,Website,COD,Completed
ORD000099,CUST01065,2026-08-28,Mobile App,Credit Card,Completed
ORD000100,CUST00669,2025-10-23,Website,Debit Card,Completed
ORD000101,CUST00912,2025-07-15,Website,Debit Card,Cancelled
ORD000102,CUST00352,2024-11-09,Mobile App,UPI,Completed
ORD000103,CUST00097,2024-10-22,Website,Credit Card,Returned
ORD000104,CUST00330,2025-09-25,Mobile App,Credit Card,Returned
ORD000105,CUST00315,2026-05-09,Website,UPI,Returned
ORD000106,CUST00260,2025-08-11,Website,Credit Card,Completed
ORD000107,CUST00072,2025-12-25,Mobile App,COD,Completed
ORD000108,CUST01106,2025-04-04,Marketplace,Debit Card,Completed
ORD000109,CUST00829,2024-01-26,Marketplace,Net Banking,Returned
ORD000110,CUST00656,2026-08-08,Website,COD,Completed
ORD000111,CUST00679,2025-06-03,Mobile App,Credit Card,Cancelled
