order_id,payment_method,payment_status,transaction_date,order_amount
ORD000001,UPI,Paid,2026-05-29,43468.18
ORD000002,Net Banking,Paid,2025-11-02,13209.76
ORD000003,Debit Card,Refunded,2026-01-21,4751.61
ORD000004,UPI,Paid,2024-11-17,4812.69
ORD000005,Net Banking,Paid,2025-02-26,12018.4
ORD000006,UPI,Paid,2026-01-13,46893.56
ORD000007,Debit Card,Paid,2024-02-28,28549.58
ORD000008,UPI,Paid,2024-05-03,32738.56
ORD000009,UPI,Paid,2026-07-11,10794.24
ORD000010,Debit Card,Paid,2024-07-08,29406.99
ORD000011,Net Banking,Paid,2025-04-09,10218.58
ORD000012,Wallet,Paid,2026-02-27,19241.56
ORD000013,COD,Paid,2024-03-05,39093.21
ORD000014,UPI,Paid,2026-04-13,29351.01
ORD000015,Credit Card,Paid,2024-07-24,36777.78
ORD000016,Debit Card,Paid,2026-02-26,5205.71
ORD000017,UPI,Paid,2026-01-02,41002.71
ORD000018,Credit Card,Paid,2024-09-13,21710.55
ORD000019,UPI,Paid,2024-01-01,48941.06
ORD000020,Credit Card,Paid,2026-07-15,1816.42
ORD000021,Wallet,Paid,2025-05-18,21014.6
ORD000022,UPI,Paid,2026-03-16,31198.41
ORD000023,Debit Card,Paid,2026-04-17,36716.91
ORD000024,Debit Card,Refunded,2024-12-07,36058.68
ORD000025,COD,Paid,2024-04-03,33423.81
ORD000026,UPI,Paid,2025-04-16,32701.08
ORD000027,Credit Card,Paid,2025-01-28,6943.51
ORD000028,COD,Refunded,2025-12-07,34972.74
ORD000029,UPI,Paid,2024-07-13,7383.16
ORD000030,Wallet,Paid,2024-09-02,25866.03
ORD000031,Wallet,Paid,2025-05-27,46726.28
ORD000032,Credit Card,Paid,2024-01-18,22417.66
ORD000033,Debit Card,Paid,2025-02-20,15327.59
ORD000034,Debit Card,Paid,2026-08-21,29161.82
ORD000035,UPI,Paid,2024-02-08,19023.36
ORD000036,Debit Card,Paid,2025-09-25,46143.55
ORD000037,Wallet,Paid,2025-10-09,1865.65
ORD000038,UPI,Paid,2025-09-17,21725.61
ORD000039,Debit Card,Paid,2024-04-27,6683.15
ORD000040,Wallet,Refunded,2024-07-27,12890.94
ORD000041,Net Banking,Paid,2025-02-15,37698.09
ORD000042,Debit Card,Paid,2024-11-25,1555.85
ORD000043,Credit Card,Paid,2024-05-04,2282.35
ORD000044,COD,Paid,2025-07-20,40175.91
ORD000045,UPI,Paid,2024-04-12,4558.99
ORD000046,UPI,Paid,2024-01-08,47986.4
ORD000047,Wallet,Paid,2026-06-27,30085.41
ORD000048,Debit Card,Paid,2025-12-10,30811.72
ORD000049,Debit Card,Paid,2025-02-26,11985.59
ORD000050,UPI,Paid,2024-07-03,2089.4
ORD000051,Debit Card,Paid,2024-11-05,27333.64
ORD000052,COD,Paid,2025-06-27,8501.72
ORD000053,Debit Card,Paid,2025-06-03,21124.04
ORD000054,UPI,Paid,2024-02-24,14842.85
ORD000055,UPI,Paid,2026-07-23,29344.02
ORD000056,Credit Card,Paid,2024-02-25,6728.68
ORD000057,Net Banking,Paid,2026-04-04,21590.63
ORD000058,Credit Card,Paid,2024-06-30,46597.03
ORD000059,Debit Card,Paid,2026-07-05,47007.55
ORD000060,UPI,Paid,2024-07-23,46194.55
ORD000061,Credit Card,Paid,2024-08-30,43542.15
ORD000062,COD,Paid,2025-04-27,35385.81
ORD000063,Credit Card,Paid,2026-08-08,45185.43
ORD000064,UPI,Paid,2024-07-17,1044.74
ORD000065,UPI,Paid,2025-12-10,40992.34
ORD000066,Credit Card,Paid,2025-04-14,5940.82
ORD000067,Debit Card,Paid,2025-09-11,34993.21
ORD000068,Wallet,Paid,2024-06-24,36397.79
ORD000069,COD,Paid,2026-05-27,19804.44
ORD000070,Net Banking,Paid,2026-05-07,45112.99
ORD000071,Debit Card,Paid,2024-09-10,41375.94
ORD000072,COD,Paid,2025-08-29,13933.21
ORD000073,Net Banking,Paid,2024-02-15,25935.13
ORD000074,Wallet,Paid,2025-03-11,3720.41
ORD000075,UPI,Paid,2024-04-10,45198.35
ORD000076,UPI,Paid,2025-12-11,29926.75
ORD000077,Debit Card,Failed,2025-10-26,3938.83
ORD000078,UPI,Paid,2025-04-15,35225.21
ORD000079,Credit Card,Paid,2026-03-01,19547.62
ORD000080,UPI,Paid,2025-01-14,28414.34
ORD000081,Credit Card,Paid,2025-01-29,6208.83
ORD000082,UPI,Paid,2025-12-16,18791.51
ORD000083,UPI,Paid,2025-09-28,36354
ORD000084,UPI,Paid,2025-11-22,42190.72
ORD000085,UPI,Paid,2025-09-25,23380.03
ORD000086,UPI,Paid,2024-03-10,31572.43
ORD000087,Credit Card,Paid,2024-09-02,31594.83
ORD000088,Net Banking,Paid,2025-08-17,36058.75
ORD000089,Credit Card,Paid,2026-07-09,22273.83
ORD000090,Credit Card,Paid,2025-01-16,25391.82
ORD000091,Debit Card,Paid,2025-04-27,39925.12
ORD000092,COD,Paid,2025-09-27,44143.97
ORD000093,COD,Paid,2026-08-22,27480.63
ORD000094,COD,Paid,2025-02-04,3656.44
