order_id,return_date,return_reason,refund_amount
ORD000003,2026-02-06,Quality Issue,4570.57
ORD000014,2026-04-23,Changed Mind,28080.08
ORD000020,2026-07-23,Quality Issue,1643.15
ORD000022,2026-03-28,Late Delivery,27093.65
ORD000023,2026-05-07,Changed Mind,35172.22
ORD000024,2024-12-13,Quality Issue,34941.08
ORD000029,2024-08-02,Size/Fit Issue,6513.61
ORD000031,2025-06-12,Quality Issue,44599.73
ORD000052,2025-07-03,Size/Fit Issue,8323.33
ORD000083,2025-10-02,Late Delivery,32887.57
ORD000086,2024-03-14,Late Delivery,29035.67
ORD000087,2024-09-17,Wrong Item,28038.42
ORD000103,2024-11-08,Damaged Product,30273.99
ORD000104,2025-10-12,Wrong Item,20765.09
ORD000105,2026-05-20,Wrong Item,17034.91
ORD000109,2024-02-07,Size/Fit Issue,4767.03
ORD000116,2025-10-27,Quality Issue,40417.01
ORD000124,2025-09-12,Damaged Product,36718.24
ORD000138,2024-03-14,Quality Issue,34672.1
ORD000159,2026-02-28,Wrong Item,27661.67
ORD000167,2026-05-22,Late Delivery,21067.43
ORD000175,2026-08-31,Size/Fit Issue,39251.33
ORD000200,2026-04-13,Size/Fit Issue,3562.95
ORD000203,2025-08-26,Late Delivery,8519.19
ORD000209,2026-06-17,Late Delivery,27949.4
ORD000230,2025-05-20,Quality Issue,44584.21
ORD000232,2026-08-04,Size/Fit Issue,11974.73
ORD000271,2024-11-27,Size/Fit Issue,8560.79
ORD000284,2025-04-28,Size/Fit Issue,30375.62
ORD000296,2025-04-22,Wrong Item,9178.83
ORD000371,2025-06-16,Quality Issue,2890.39
ORD000373,2026-02-11,Changed Mind,16547.55
ORD000386,2025-08-03,Size/Fit Issue,21324.38
ORD000394,2024-07-16,Wrong Item,35949.49
ORD000427,2025-09-06,Quality Issue,44680.83
ORD000471,2025-01-22,Wrong Item,34842.89
ORD000480,2026-01-08,Quality Issue,14932.33
ORD000500,2025-01-23,Late Delivery,6824.35
ORD000556,2024-08-17,Late Delivery,38629.57
ORD000560,2024-08-08,Wrong Item,39410.57
ORD000562,2025-04-17,Damaged Product,13103.88
ORD000575,2025-05-27,Wrong Item,19225.46
ORD000577,2025-02-26,Late Delivery,11892.41
ORD000583,2025-04-19,Damaged Product,38791.37
ORD000603,2025-03-24,Late Delivery,35566.07
ORD000609,2025-05-10,Late Delivery,19632.4
ORD000612,2026-02-08,Late Delivery,12234.78
ORD000633,2026-05-30,Wrong Item,2336.98
ORD000654,2025-05-24,Size/Fit Issue,11949.44
ORD000676,2025-06-25,Damaged Product,31096.97
ORD000680,2026-06-17,Size/Fit Issue,44564.58
ORD000690,2025-06-16,Wrong Item,41476.87
ORD000691,2026-06-28,Quality Issue,12731.94
ORD000694,2025-08-06,Size/Fit Issue,17471.48
ORD000704,2025-02-13,Wrong Item,34459.12
ORD000711,2025-04-01,Late Delivery,3600.95
ORD000759,2024-01-30,Late Delivery,2613.5
ORD000760,2025-09-07,Size/Fit Issue,7342.06
ORD000785,2026-01-09,Late Delivery,4601.77
ORD000818,2024-02-25,Changed Mind,6025.18
ORD000825,2026-03-02,Changed Mind,15645.63
ORD000831,2024-04-03,Quality Issue,24594.09
ORD000848,2025-05-02,Quality Issue,28477.43
ORD000857,2024-12-11,Changed Mind,32487.61
ORD000862,2025-01-31,Quality Issue,28706.46
ORD000868,2026-05-21,Wrong Item,4742.48
ORD000873,2025-08-01,Wrong Item,19053.98
ORD000879,2025-07-03,Late Delivery,42230.16
ORD000887,2024-06-19,Quality Issue,12141.12
ORD000888,2025-08-20,Size/Fit Issue,24564.6
