order_id,shipping_mode,dispatch_date,delivery_date,shipping_cost
ORD000001,Standard,2026-05-29,2026-06-06,273.27
ORD000002,Express,2025-11-03,2025-11-09,184.51
ORD000003,Express,2026-01-23,2026-01-29,260.56
ORD000004,Standard,2024-11-19,2024-11-23,136.19
ORD000005,Standard,2025-02-27,2025-02-28,49.44
ORD000006,Standard,2026-01-14,2026-01-15,52.04
ORD000007,Standard,2024-03-01,2024-03-02,248.87
ORD000008,Standard,2024-05-05,2024-05-07,252.9
ORD000009,Standard,2026-07-12,2026-07-19,107.8
ORD000010,Standard,2024-07-08,2024-07-09,212.19
ORD000011,Express,2025-04-11,2025-04-12,356.09
ORD000012,Express,2026-03-01,2026-03-08,201.46
ORD000013,Standard,2024-03-05,2024-03-10,198.83
ORD000014,Express,2026-04-14,2026-04-18,360.98
ORD000015,Express,2024-07-26,2024-07-27,351.4
ORD000016,Standard,2026-03-01,2026-03-04,209.59
ORD000017,Standard,2026-01-03,2026-01-06,265.86
ORD000018,Standard,2024-09-16,2024-09-19,222.7
ORD000019,Standard,2024-01-04,2024-01-08,35.69
ORD000020,Express,2026-07-16,2026-07-20,346.53
ORD000021,Standard,2025-05-18,2025-05-25,37.09
ORD000022,Standard,2026-03-16,2026-03-20,95.53
ORD000023,Same Day,2026-04-18,2026-04-24,299.42
ORD000024,Express,2024-12-10,2024-12-11,257.25
ORD000025,Standard,2024-04-05,2024-04-08,55.54
ORD000026,Standard,2025-04-16,2025-04-23,86.57
ORD000027,Standard,2025-01-31,2025-02-05,205.62
ORD000028,Express,2025-12-07,2025-12-10,162.69
ORD000029,Express,2024-07-14,2024-07-22,366.01
ORD000030,Standard,2024-09-03,2024-09-09,299.79
ORD000031,Standard,2025-05-29,2025-05-30,108.54
ORD000032,Standard,2024-01-18,2024-01-24,156.43
ORD000033,Express,2025-02-20,2025-02-26,162.49
ORD000034,Standard,2026-08-22,2026-08-26,108.61
ORD000035,Standard,2024-02-08,2024-02-16,162.95
ORD000036,Express,2025-09-26,2025-10-02,282.23
ORD000037,Standard,2025-10-12,2025-10-13,62.44
ORD000038,Standard,2025-09-20,2025-09-28,152.54
ORD000039,Standard,2024-04-28,2024-05-01,109.66
ORD000040,Standard,2024-07-27,2024-07-31,36.54
ORD000041,Express,2025-02-18,2025-02-19,239.81
ORD000042,Express,2024-11-28,2024-12-01,150.33
ORD000043,Standard,2024-05-04,2024-05-05,206.39
ORD000044,Standard,2025-07-22,2025-07-27,165.15
ORD000045,Standard,2024-04-15,2024-04-18,190.68
ORD000046,Standard,2024-01-08,2024-01-11,79.88
ORD000047,Express,2026-06-29,2026-07-03,193.23
ORD000048,Same Day,2025-12-10,2025-12-17,394.32
ORD000049,Standard,2025-02-26,2025-03-06,160.51
ORD000050,Standard,2024-07-05,2024-07-06,272.5
ORD000051,Standard,2024-11-07,2024-11-13,252.79
